ruc,razon_social,tipo_contribuyente,profesion_oficio,nombre_comercial,condicion_contribuyente,estado_contribuyente,fecha_inscripcion,fecha_inicio_actividades,departamento,provincia,distrito,direccion,telefono,fax,actividad_comercio_exterior,ciiu_principal,ciiu_secundario_1,ciiu_secundario_2,afecto_nuevo_rus,buen_contribuyente,agente_retencion,agente_percepcion_venta_interna,agente_percepcion_combustible,fecha_consulta
20132505455,COOPERATIVA AGRARIA CAFETALERA AGUILAYOC  LTDA. 084,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,1993-05-06,1980-04-06,CUSCO,LA CONVENCION,SANTA ANA,JR. OLLANTA NRO. 130 URB. SANTA ANA,,,SIN ACTIVIDAD,EXPLOTACION MIXTA.,ACTIVIDADES INMOBILIARIAS,,NO,"SI, incorporado al Régimen de Buenos Contribuyentes (Resolución N° 0930050010724) a partir del 01/04/2018",,,,2026-09-19T21:42:35.997Z
20132509795,COOPERATIVA AGRARIA CAFETALERA JOSE OLAYA LTDA  N° 252,"COOPERATIVAS, SAIS, CAPS",,CAC JOSE OLAYA LTDA 252,HABIDO,ACTIVO,1993-05-06,1972-04-12,CUSCO,LA CONVENCION,SANTA ANA,AV. EDGAR DE LA TORRE NRO. 232 COO. QUILLABAMBA,,,IMPORTADOR/EXPORTADOR,CULTIVO DE FRUTAS.,ACTIVIDADES INMOBILIARIAS,,NO,,,,,2026-09-19T21:42:35.997Z
20132509876,COOPERATIVA AGRARIA CAFETALERA MARANURA LTDA. 129,"COOPERATIVAS, SAIS, CAPS",,,HABIDO,ACTIVO,1993-05-06,1964-12-02,CUSCO,LA CONVENCION,MARANURA,NRO. SN SEC. PAMPA MARANURA (CARRTERA QBBA CUSCO KM10 EX FUNDOMARANUR),,,IMPORTADOR/EXPORTADOR,TRANSPORTE  DE CARGA POR CARRETERA.,"ELAB. CACAO, CHOCOLATE Y CONFIT.",,NO,,,,,2026-09-19T21:42:35.997Z
20132517119,COOPERATIVA AGRARIA CAFETALERA MATEO PUMACAHUA LTDA N° 185,"COOPERATIVAS, SAIS, CAPS",,COOP. AGRARIA CAFETALERA,HABIDO,ACTIVO,1993-05-06,1965-11-20,CUSCO,LA CONVENCION,SANTA ANA,JR. LIBERTAD NRO. 631,,,IMPORTADOR/EXPORTADOR,"ELAB. CACAO, CHOCOLATE Y CONFIT.",ACTIVIDADES INMOBILIARIAS,,NO,,,,,2026-09-19T21:42:35.997Z
20136201132,COOPERATIVA AGRARIA CAFETALERA ALTO URUBAMBA LTDA N° 239,"COOPERATIVAS, SAIS, CAPS",,C.A.C. ALTO URUBAMBA,HABIDO,ACTIVO,1993-05-13,1967-09-29,CUSCO,LA CONVENCION,SANTA ANA,AV. FRANCISCA ZUBIAGA NRO. 427 QUILLABAMBA (COSTADO DE ELECTRO SUR S.A.),,,SIN ACTIVIDAD,VTA.  MAY. DE MATERIAS PRIMAS AGROPEC.,"RESTAURANTES, BARES Y CANTINAS.",,NO,,,,,2026-09-19T21:42:35.997Z
20136201213,CENTRAL DE COOPERATIVAS AGRARIAS CAFETALERAS COCLA LTDA. N° 281,"COOPERATIVAS, SAIS, CAPS",,CENTRAL COCLA LTDA. 281,HABIDO,ACTIVO,1993-05-13,1966-07-26,CUSCO,LA CONVENCION,SANTA ANA,AV. EDGAR DE LA TORRE NRO. 1353 QUILLABAMBA (LOCAL DE COCLA),,,EXPORTADOR,VTA. MAY. DE OTROS PRODUCTOS.,ELAB DE OTROS PROD. ALIMENTICIOS.,ACTIVIDADES INMOBILIARIAS,NO,,"NO, Excluido del Régimen de Agentes de Retención de IGV a partir del 01/02/2015",,,2026-09-19T21:40:58.666Z
20140181405,COOPERATIVA AGRARIA CAFETALERA LA FLORIDA,"COOPERATIVAS, SAIS, CAPS",,COOPERATIVA LA FLORIDA,HABIDO,ACTIVO,1993-06-09,1970-10-08,JUNIN,CHANCHAMAYO,PERENE,AV. CHANCHAMAYO MZA. O LOTE. 24 C.P. PUERTO YURINAKI (A UNA CDRA PARQUE PTO YURINAKI S75098560),,,EXPORTADOR,CULTIVO DE FRUTAS.,"RESTAURANTES, BARES Y CANTINAS.",,NO,,"NO, Excluido del Régimen de Agentes de Retención de IGV a partir del 01/01/2025",,,2026-09-19T21:42:35.997Z
20140292657,COOPERATIVA AGRARIA CAFETALERA CCOCHAPAMPA LTDA.,"COOPERATIVAS, SAIS, CAPS",,COOP AGRARIA CAFETALERA,HABIDO,ACTIVO,1993-06-09,1992-11-01,CUSCO,LA CONVENCION,SANTA ANA,AV. EDGAR DE LA TORRE NRO. 350 (FT I.E TUPAC AMAR LOCAL COOP. 2P CELESTE),,,EXPORTADOR,CULTIVO DE FRUTAS.,VTA. MAY. DE OTROS PRODUCTOS.,,NO,,,,,2026-09-19T21:42:35.997Z
20143224857,COOPERATIVA AGRARIA DE USUARIOS AMAYBAMBA PISTIPATA LTDA. N°34,"COOPERATIVAS, SAIS, CAPS",,COOPERATIVA AGRARIA,HABIDO,ACTIVO,1993-06-24,1971-01-01,CUSCO,LA CONVENCION,HUAYOPATA,CAR. QUILLABAMBA CUSCO NRO. KM35,,,SIN ACTIVIDAD,CULTIVO DE FRUTAS.,,,NO,,,,,2026-09-19T21:42:35.997Z
20143692010,COOPERATIVA AGRARIA EL QUINACHO LTDA. N° 078,"COOPERATIVAS, SAIS, CAPS",,CAC. EL QUINACHO,HABIDO,ACTIVO,1993-06-24,1971-01-09,AYACUCHO,HUANTA,SIVIA,AV. QUINACHO MZA. V LOTE. 1 (COSTADO DE LA PLAZA PRINCIPAL),,,IMPORTADOR/EXPORTADOR,"ELAB. CACAO, CHOCOLATE Y CONFIT.",,,NO,,,,,2026-09-19T21:42:35.997Z
